Filename,Commercial PLA
0.92,32.64,-0.163
0.93,32.66,-0.163
0.93,32.68,-0.163
0.93,32.69,-0.163
0.93,32.71,-0.163
0.93,32.73,-0.163
0.93,32.74,-0.163
0.93,32.76,-0.163
0.94,32.78,-0.163
0.94,32.79,-0.163
0.94,32.81,-0.163
0.94,32.83,-0.163
0.94,32.84,-0.163
0.95,32.86,-0.163
0.95,32.88,-0.163
0.95,32.89,-0.163
0.95,32.91,-0.163
0.95,32.92,-0.163
0.95,32.94,-0.163
0.95,32.96,-0.163
0.96,32.98,-0.163
0.96,32.99,-0.163
0.96,33.01,-0.163
0.96,33.02,-0.163
0.96,33.04,-0.163
0.97,33.06,-0.163
0.97,33.07,-0.164
0.97,33.09,-0.164
0.97,33.11,-0.164
0.97,33.12,-0.164
0.97,33.14,-0.164
0.98,33.16,-0.164
0.98,33.17,-0.164
0.98,33.19,-0.164
0.98,33.21,-0.164
0.98,33.22,-0.164
0.98,33.24,-0.164
0.98,33.25,-0.164
0.99,33.27,-0.164
0.99,33.29,-0.164
0.99,33.31,-0.164
0.99,33.32,-0.164
0.99,33.34,-0.164
1.00,33.36,-0.164
1.00,33.37,-0.164
1.00,33.39,-0.164
1.00,33.40,-0.164
1.00,33.42,-0.164
1.00,33.44,-0.164
1.00,33.45,-0.164
1.01,33.47,-0.164
1.01,33.49,-0.164
1.01,33.50,-0.164
1.01,33.52,-0.164
1.01,33.54,-0.164
1.02,33.55,-0.164
1.02,33.57,-0.164
1.02,33.59,-0.164
1.02,33.60,-0.164
1.02,33.62,-0.164
1.02,33.64,-0.164
1.03,33.65,-0.164
1.03,33.67,-0.164
1.03,33.69,-0.164
1.03,33.70,-0.164
1.03,33.72,-0.164
1.03,33.74,-0.164
1.03,33.75,-0.164
1.04,33.77,-0.164
1.04,33.79,-0.164
1.04,33.80,-0.164
1.04,33.82,-0.164
1.04,33.84,-0.164
1.05,33.85,-0.164
1.05,33.87,-0.164
1.05,33.88,-0.164
1.05,33.90,-0.164
1.05,33.92,-0.164
1.05,33.93,-0.164
1.05,33.95,-0.164
1.06,33.97,-0.164
1.06,33.98,-0.164
1.06,34.00,-0.164
1.06,34.02,-0.164
1.06,34.03,-0.164
1.07,34.05,-0.164
1.07,34.07,-0.164
1.07,34.08,-0.164
1.07,34.10,-0.164
1.07,34.12,-0.164
1.07,34.13,-0.164
1.08,34.15,-0.164
1.08,34.17,-0.164
1.08,34.18,-0.164
1.08,34.20,-0.164
1.08,34.22,-0.164
1.08,34.23,-0.164
1.08,34.25,-0.164
1.09,34.27,-0.164
1.09,34.28,-0.164
1.09,34.30,-0.164
1.09,34.31,-0.164
1.09,34.33,-0.165
1.09,34.35,-0.165
1.10,34.36,-0.165
1.10,34.38,-0.165
1.10,34.40,-0.165
1.10,34.41,-0.165
1.10,34.43,-0.165
1.11,34.45,-0.165
1.11,34.46,-0.165
1.11,34.48,-0.165
1.11,34.50,-0.165
1.11,34.51,-0.165
1.11,34.53,-0.165
1.12,34.55,-0.165
1.12,34.56,-0.165
1.12,34.58,-0.165
1.12,34.60,-0.165
1.12,34.61,-0.165
1.12,34.63,-0.165
1.13,34.65,-0.165
1.13,34.66,-0.165
1.13,34.68,-0.165
1.13,34.70,-0.165
1.13,34.71,-0.165
1.13,34.73,-0.165
1.13,34.74,-0.165
1.14,34.76,-0.165
1.14,34.78,-0.165
1.14,34.79,-0.165
1.14,34.81,-0.165
1.14,34.83,-0.165
1.14,34.85,-0.165
1.15,34.86,-0.165
1.15,34.88,-0.165
1.15,34.89,-0.165
1.15,34.91,-0.165
1.15,34.93,-0.165
1.16,34.94,-0.165
1.16,34.96,-0.165
1.16,34.98,-0.165
1.16,34.99,-0.165
1.16,35.01,-0.165
1.16,35.03,-0.165
1.17,35.04,-0.165
1.17,35.06,-0.165
1.17,35.08,-0.165
1.17,35.09,-0.165
1.17,35.11,-0.165
1.17,35.13,-0.165
1.18,35.14,-0.165
1.18,35.16,-0.165
1.18,35.18,-0.165
1.18,35.19,-0.165
1.18,35.21,-0.165
1.18,35.23,-0.165
1.18,35.24,-0.165
1.19,35.26,-0.165
1.19,35.28,-0.165
1.19,35.29,-0.165
1.19,35.31,-0.165
1.19,35.33,-0.165
1.19,35.34,-0.165
1.20,35.36,-0.165
1.20,35.38,-0.165
1.20,35.39,-0.165
1.20,35.41,-0.165
1.20,35.43,-0.165
1.21,35.44,-0.165
1.21,35.46,-0.165
1.21,35.48,-0.165
1.21,35.49,-0.165
1.21,35.51,-0.165
1.21,35.52,-0.165
1.22,35.54,-0.165
1.22,35.56,-0.165
1.22,35.57,-0.165
1.22,35.59,-0.165
1.22,35.61,-0.165
1.22,35.62,-0.165
1.23,35.64,-0.165
1.23,35.66,-0.165
1.23,35.67,-0.165
1.23,35.69,-0.165
1.23,35.71,-0.165
1.23,35.72,-0.165
1.23,35.74,-0.165
1.24,35.76,-0.166
1.24,35.77,-0.166
1.24,35.79,-0.166
1.24,35.81,-0.166
1.24,35.82,-0.166
1.24,35.84,-0.166
1.25,35.86,-0.166
1.25,35.88,-0.166
1.25,35.89,-0.166
1.25,35.91,-0.166
1.25,35.92,-0.166
1.26,35.94,-0.166
1.26,35.96,-0.166
1.26,35.97,-0.166
1.26,35.99,-0.166
1.26,36.01,-0.166
1.26,36.02,-0.166
1.27,36.04,-0.166
1.27,36.06,-0.166
1.27,36.07,-0.166
1.27,36.09,-0.166
1.27,36.11,-0.166
1.27,36.12,-0.166
1.28,36.14,-0.166
1.28,36.16,-0.166
1.28,36.17,-0.166
1.28,36.19,-0.166
1.28,36.21,-0.166
1.28,36.22,-0.166
1.28,36.24,-0.166
1.29,36.26,-0.166
1.29,36.27,-0.166
1.29,36.29,-0.166
1.29,36.31,-0.166
1.29,36.32,-0.166
1.29,36.34,-0.166
1.30,36.36,-0.166
1.30,36.37,-0.166
1.30,36.39,-0.166
1.30,36.41,-0.166
1.30,36.42,-0.166
1.31,36.44,-0.166
1.31,36.46,-0.166
1.31,36.47,-0.166
1.31,36.49,-0.166
1.31,36.51,-0.166
1.31,36.52,-0.166
1.32,36.54,-0.166
1.32,36.55,-0.166
1.32,36.57,-0.166
1.32,36.59,-0.166
1.32,36.60,-0.166
1.32,36.62,-0.166
1.33,36.64,-0.166
1.33,36.65,-0.166
1.33,36.67,-0.166
1.33,36.69,-0.166
1.33,36.70,-0.166
1.33,36.72,-0.166
1.33,36.74,-0.166
1.34,36.75,-0.166
1.34,36.77,-0.166
1.34,36.79,-0.166
1.34,36.80,-0.166
1.34,36.82,-0.166
1.34,36.84,-0.166
1.35,36.85,-0.166
1.35,36.87,-0.166
1.35,36.89,-0.166
1.35,36.90,-0.166
1.35,36.92,-0.166
1.36,36.94,-0.166
1.36,36.95,-0.166
1.36,36.97,-0.166
1.36,36.99,-0.166
1.36,37.00,-0.166
1.36,37.02,-0.166
1.37,37.04,-0.166
1.37,37.05,-0.166
1.37,37.07,-0.166
1.37,37.09,-0.166
1.37,37.10,-0.166
1.37,37.12,-0.166
1.38,37.14,-0.166
1.38,37.15,-0.166
1.38,37.17,-0.166
1.38,37.19,-0.166
1.38,37.20,-0.166
1.38,37.22,-0.166
1.38,37.23,-0.166
1.39,37.25,-0.166
1.39,37.27,-0.166
1.39,37.28,-0.166
1.39,37.30,-0.166
1.39,37.32,-0.166
1.39,37.34,-0.166
1.40,37.35,-0.166
1.40,37.37,-0.166
1.40,37.39,-0.166
1.40,37.40,-0.167
1.40,37.42,-0.167
1.41,37.44,-0.167
1.41,37.45,-0.167
1.41,37.47,-0.167
1.41,37.48,-0.167
1.41,37.50,-0.167
1.41,37.52,-0.167
1.42,37.53,-0.167
1.42,37.55,-0.167
1.42,37.57,-0.167
1.42,37.58,-0.167
1.42,37.60,-0.167
1.42,37.62,-0.167
1.43,37.63,-0.167
1.43,37.65,-0.167
1.43,37.67,-0.167
1.43,37.68,-0.167
1.43,37.70,-0.167
1.43,37.72,-0.167
1.43,37.73,-0.167
1.44,37.75,-0.167
1.44,37.77,-0.167
1.44,37.78,-0.167
1.44,37.80,-0.167
1.44,37.82,-0.167
1.44,37.83,-0.167
1.45,37.85,-0.167
1.45,37.87,-0.167
1.45,37.88,-0.167
1.45,37.90,-0.167
1.45,37.92,-0.167
1.46,37.93,-0.167
1.46,37.95,-0.167
1.46,37.97,-0.167
1.46,37.98,-0.167
1.46,38.00,-0.167
1.46,38.02,-0.167
1.47,38.03,-0.167
1.47,38.05,-0.167
1.47,38.07,-0.167
1.47,38.08,-0.167
1.47,38.10,-0.167
1.47,38.12,-0.167
1.48,38.13,-0.167
1.48,38.15,-0.167
1.48,38.17,-0.167
1.48,38.18,-0.167
1.48,38.20,-0.167
1.48,38.21,-0.167
1.48,38.23,-0.167
1.49,38.25,-0.167
1.49,38.26,-0.167
1.49,38.28,-0.167
1.49,38.30,-0.167
1.49,38.31,-0.167
1.49,38.33,-0.167
1.50,38.35,-0.167
1.50,38.36,-0.167
1.50,38.38,-0.167
1.50,38.40,-0.167
1.50,38.41,-0.167
1.51,38.43,-0.167
1.51,38.45,-0.167
1.51,38.46,-0.167
1.51,38.48,-0.167
1.51,38.50,-0.167
1.51,38.51,-0.167
